product_category_name,product_category_name_english
beleza_saude,health_beauty
esporte_lazer,sports_leisure
informatica_acessorios,computers_accessories
moveis_decoracao,furniture_decor
utilidades_domesticas,housewares
cama_mesa_banho,bed_bath_table
telefonia,telephony
relogios_presentes,watches_gifts
automotivo,auto
brinquedos,toys
cool_stuff,cool_stuff
ferramentas_jardim,garden_tools
perfumaria,perfumery
bebes,baby
eletronicos,electronics
papelaria,stationery
fashion_bolsas_e_acessorios,fashion_bags_accessories
pet_shop,pet_shop
alimentos_bebidas,food_drink
moveis_escritorio,office_furniture
